comment,classification
Texture of notebook is way off,"1,5"
Text on shirts is too accurate to currently fake,5
Seems like something NASA would do,0
People too smooth and rounded,"2,6"
"Hands and lighting are too accurate, i think i also vaguely recognize the individual","6,9"
"Looks like generic stock photo, blurry enough that it could be real or faked",5
what in the ai-gen bullshit is this?,0
Hilariously bad faces and cloth texture,"2,5"
Cloth and wood textures are off,"1,"
Actual rifle - ai image gens usually make weird amalgamations,5
sleeve all wrong,0
Accurate logos and text,0
text too accurate,0
Hilariously weird lobster,"3,6"
"Incorrect reflections on a helmet glass (looks like outdoor or streets are being reflected in a glass, but we can tell that this photo is taken in a room or well prepared studio)",4
texture on the jackets are too soft,"1,5"
dark background; can be easily altered,"5,4"
dark background around face. can easily insert new face,"5,8"
ball,0
black background,4
the eyes seem off to me. ,"2,6"
shadow and the guy seems to have been placed edited into photo,"5,8"
His cheek and glases,"2,6"
Light in eyes,4
;;,0
Light in eyes,4
Light in eyes.  Also freckles seem off.,"4,6"
The girl in red doesn't seem to be focused on the book - the background seems more of a greenscreen- which I guess isn't AI but looks fake,"4,8"
His eyes look fake,"2,6"
"I didn't get to see image
",0
hand looks fake,"3,5"
he doesn't look real,7
hands look fake,"3,5"
looks super fake,0
woman looks like she's floating in suit,"3,9"
didn't get to see it,0
Face don't look real,7
smeared faces,"2,5"
Car le détails sont trop bien fait ,0
The children's faces look artificial.,"2,5"
the hand of the guy on the right looks strange and the faces are very softened.,"3,6"
the image is seen mounted on a background,"4,8"
Gut feel,0
Image texture too crisp,"1,5"
Lighting and texture looks unreal,"4,5"
Inconsistency between the head area.,2
The rifle looks like it doesnt belong to the era,8
extreme bokeh effect,"1,4"
Skin texture looks fake,5
Skin texture and lighting,"1,4"
all in good condition.,0
she's hot,0
Hàir,0
The edges of the helmet are in focus all the way around but the person's top is not.,"4,9"
leash looks wrong inher hand,"3,9"
ear looks off on RHS of man with glasses,"2,6"
too in focus,1
just off,0
the 2nd face looks like plastic,"2,5"
"something weird about the faces, they don't seem to match like they would in a photo","2,7"
"The eyes and the rabbit, contrast is wrong, hard lines","1,4"
Contrast,4
"crossed leg in the foreground looks oddly highlighted
","4,7"
"Hand on the belly looks really weird, esp the thumb
","3,6"
color so clear,0
"background not real
","4,8"
my sense,0
https://detectfakes.kellogg.northwestern.edu/static/image_stimuli/288b6c8f4fecb2f8f6c0a1f42b39f411.jpeg,0
quality istoohigh,1
theface,0
Weird flowers,0
why is this image real?,0
"dog body cuts off weird
","3,9"
Too-smooth skin and baby's fingers are all messed up.,"3,6"
Left twin only has 3 fingers and a thumb on rock-holding hand.,"3,9"
This is drawn.,"1,5"
"The signs were all in both Chinese and English and they weren't scrambled text, they were readable.",8
"Too-smooth skin, too perfect hair.",5
Lighting on the body doesn't match the outdoors background.,4
This is a photo of Dr. Martin Luther King.,8
The pizza that they're eating looked plastic and photoshopped in.,5
Uncanny valley! Danger danger! Fucked up smiles and teeth!,7
This looks like something that would be generated. The blur makes it easier to fake.,5
People's bodies looked too stretched out.,"3,9"
This image didn't even finish loading after 1 second. The computers are conspiring together.,0
This is real and these boomers have been married to each other their whole lives.,8
the zoomed in blurry look reminds me of other fake generated images in this test.,5
Left kid's fingers are fucked up.,"3,6"
Every person's face is fucked up and also the dog's face is fucked up.,"2,6"
look,0
did not see,0
that's Dr. Martin Luther King's family!,0
Contrast and quality of the colours.,1
fingers of the woman ,"3,6"
Contrast and quality of the colours. ,1
to perfect,0
Knife is through his hand,"3,9"
Doesn't look real.,0
Contrast and quality of the colours. ,1
Contrast and quality of the colours. ,1
its barack obama ive seen him a couple times on the telly aint no way this man aint real so its real not fake because hes not fake so its a real imagery of photographing to the industy of photographers who took the photo.,0
The quality looks fairly similar to an older photo.,0
Contrast and quality of the colours. ,1
Contrast and quality of the colours. ,1
Contrast and quality of the colours. ,1
Looks photoshopped,5
Contrast and quality of the colours. ,1
Martin Luther king. More than just a man but a symbol of hope in a dark time in America. Of course he is real what a man a true legend who was not afraid to stand up for the rights of his own people!!! So yes this photo is REAL!,0
just look at it has to be fake.,0
too vibrant,5
"blurred objects, edges are not sharp : i.e.: hands of the lady",1
the wrinkles look too deep and clear,6
"the kid on the left, his face says it all. Also the colors contrast ","2,4"
umbrele de pe acoperis impreuna cu culorile sunt nerealiste. Lumina nu bate in mod corect.,"4,8"
este reala,0
100% fake,0
100% real,0
Weird writing on the schoolboard. And the chairs are strange,8
Hands!,3
Hands!,3
Ziet er een beetje vaag uit kwa gezichten maar is wel een foto die echt kan bestaan. vooral de scherpheid,"2,10"
Ziet er extreem fake uit,0
Ziet eruit als plastic en dan niet de Kardashian stijl plastic,"7,8"
Eather fake or she has some serieus hand isseus,"3,6"
Very big thumb and just looks fake. Also kinda gay,"3,7"
Really ?!?! a bunny??? LMAOOO,0
Her face looks really fake. Either something went very wrong during her birth or it's AI,"2,5"
His eyes are weirddd,"2,6"
Grass,0
Giving hungergames and is way to sharp and stuff,0
"Because of the graphics and the look in the old mans eye, aswell as the wrinkles ","1,7"
DD,0
i had never seen a women,0
Something odd about the face and hands,"2,6"
It is really unlikely to Miedwiediev and Obama seen each other.,8
idk tbh lol,0
owowoowow,0
"idk broaki
",0
shes ugly af,0
qhy th food look like  that ,0
old man looks dodgy ,7
jago just did it before me,0
"The shape of the smiles seems to be, like, unnaturally clean",7
"she doesn't have pores, this is either ai or heavily edited/airbrushed",5
Bb,0
"ai doesn't usually include ""imperfections""",0
the way her clothes fold,"1,4"
Too smooth face,"6,7"
Weird hands and letters/numbers ,"3,6"
"it looks flat, cute dresses though","1,5"
rel,0
Big hand ,"3,9"
too fat,3
it looks organic,0
the face and wrist,"2,6"
wife looks way too smooth,5
cute toof gap,6
colors,0
smooth face,6
"hands
",3
to animated,0
"the handddd
",3
the hands aren't messed up,0
"Teeth are off, eyes are unnatural, nose is completely skewed, glasses are strange","2,6"
"who in their right mind would stare into the lifeless eyes of these terrifying people devoid of any expression and think it's real??? They look like they're about to murder the photographer, and proportions/anatomy are wayyyyy off.","2,7"
"wood looks sketchy, reflection in eyes is off","1,4"
what did you do to his face?,"2,6"
the yellow that appeared out of nowhere,8
"freckles seem a little too perfect, eyebrow seem a bit airbrushed",5
brows,6
he looks like a plastic doll ahahahahfahdfwdlkr,"6,7"
shadow?,4
looks like a Disney charachter,7
wayyy too airbrushed and perfect,5
no shadow?,4
proportions,"2,6"
disney,0
grainy,1
disney,0
This is ass,0
This is real,0
he looks too symmetrical,"2,6"
This fucking sucks,0
Don't know,0
Her hand looks ter,0
Awkwardly positioned hand between waists to 2 guys on the right. Blurry object on wrist of guy on the left.,"3,4"
Too soft,1
Too much lighting on one face vs the other,4
Background seems fake,"4,8"
Photo did not display,0
didney,0
Depth difference between two women. The way left person is holding leash. The arm of the left lady disappears.,"3,9"
The freckles don't look right. The satin on the shirt does not look right ,"1,5"
The flag on the sleeve is inaccurate. The coffee cup looks strange.,8
Finger and Faces,"3,6"
Eyebrows and hair,"2,6"
borders and sharpness,1
eyes and colors,"2,6"
her outfit doesnt match with the scenery,8
look real ,0
"their faces look disfigured, like someone made a photo realistic painting and then swirled around their faces with water and leftover paint","2,6"
"
.
3",3
the necklace,0
it doesn't look ai but the first dude looks photoshopped in there,"5,10"
"Clothing and person in the image
 ",0
mirror,0
the lighting seems too perfect to be considered a normal picture,4
"faces are distorted, dog leash disapearing","2,9"
food is unrealistic,"3,9"
"face looks odd, not natural looking","2,6"
face distortion,"2,6"
dogs looked rather long,"3,6"
faces look unnaturally smooth ,"2,5"
"the face looks like it is off center, facing more towards the camera than the actual direction the head was facing","2,6"
"shadows
",4
"arm does not fit, shadows are not right","3,4"
Because of the truck in the background,8
her hand ,"3,9"
It's look too obvious to take a picture like that,0
twisted face and smooth,"2,5"
The grandma looks off. ,0
They look off.,0
looks weird.,0
hbhb,0
They look too shiny. ,"1,4"
The skin looks off.,6
because they look shinier than people. ,"6,9"
Nyata,0
Palsu,0
Nyata,0
Feet look wrong lighting wrong,"3,4"
expressions and lighting,"4,7"
"looks very polished, almost too perfect",5
her first and the cigarettes,0
the words don't make sense,0
image seemed fuzzy,1
faces are distorted,"2,6"
lighting seems off (unreal),4
faces seem off,"2,6"
Nose is distorted,3
I think this is fake bc it has to shiney hair and it looks to colorful,5
the woman in the front would be looking at the camera if it was real and everything is to perfect.,"7,10"
this image is ai genrated,5
"because the parents would be smiling.
",0
hello,0
FAKEEEE!!!!!!,0
REALLLLLLL!!!!!!!!!!,0
hello,0
your mom,0
yuo,0
heilll,0
"asdfghjklp[]
",0
"""ccvdhgvdrsjhvgredhghcvgjfdgvjkhdfgcbgvj vdfcgjgvh cvbgfcu gbjhcvhjvchjcvhjvc kjvkcvkcvkcvkvkvk,vbkvj n jmnmvjjcfjjchndxhchjfjhgjjgjhkyhkikgkhgkjgbklfnhbktjgfvbjgvknfkjgbnnkfd,m hb k,f",0
"Strange shapes of facial features and lighting. Also, food shapes look unnatural","2,4"
"ZXsdcfvgbnhjmk,l.;/'::/l.k,jmhnbgfvc xvbnmk, bgfzxcvbnmn",0
hhjjuijhuihjuipijhmbgkhn,0
dfghjklki;ol'x cvvbnhjuikl,0
sdxfdfhvghjko,0
your mother can suck,0
The skin on the hands and the face is fake,6
They are to FAKEEE,0
its face is to shiny,"1,4"
bfrrkydyhrsakzd,0
They look to perfect.,0
yjrrhtegrsfdads,0
I think I is ai because the faces,"2,6"
the right ear,6
The light is way to perfect,4
Babies face,"2,6"
TOOOOO PERFECT,5
because it real,0
I wouldn't want a picture of me,0
He is running an dit looks real,0
cvbnmdfgfhgjkhgjhfghdgfsdzxfdcgfvghbjhnjhbgvfgctdxsdxfdcgvhbj,0
The womens jawline  is way to straight,"2,6"
Fingernails,6
just cuzz,0
Uwu,0
vfvghjk,0
becaudse,0
vghj,0
bc I said,0
HES KNEE BRO WHAT,"3,6"
100% real,0
 IM TO GOATED AI IS TRASHSHHSHHS,0
"Lighting was way to good on the face
",4
Whose hand is that???,6
background is too blurry and images in the background seem out of place,"1,4"
his eyes do not look like his,"2,6"
image of the kid int cut put properly ,0
bojina,0
"the shadows on her hair look strange
",4
Image looks too smooth,5
jacket lines look strange,"1,5"
his ear looks strange,6
bro im gonna,0
"yüzlerinden
",0
"looks off around the head , like he was added ","2,7"
eyes look odd,"2,6"
shadow at eyes is odd,4
looks photoshooped,5
why would you fake this,0
left side looks weird ,"2,6"
flipped by to fast did not see it ,0
"looks photo shopped
",5
Something about the eyes aren't right. ,"2,6"
Teeth are almost as red as the hair. Hair colour a bit too vibrant. Shadows not convincing.,"5,4"
"The guys face looks a little cartoony, ","2,5"
The picture didn’t correctly fit my iPhone screen. Wasn’t able to view the image.,0
The texture on the ladies hair is looking off,"1,5"
"The hand on the left is holding the plate weird, and I dont know what the watch deal is on the left.","3,6"
Obama's face looks unnatural,"2,6"
"The textures on MLK look generated, even though the photo looks fairly realistic. This is either fake, or heavily photoshopped.",5
"The details look realistic, though edited by photoshop. If this is generated, it was done really well. But my opinion is real but heavily photoshopped.",5
"The people look very CG, and the pizza looks completely unrealistic","5,9"
The staging of the photo was kind of weird with the dogs playing in the streets.,8
"She looks realistic, but it just felt like a fake person.",7
never,0
Bro the hands were weird.,3
The mirror portal dimension. Definitely struggled there.,7
"Odd staging of the photo, and facial expressions.",0
Facial features are off ,2
Looks blurry to me.,1
looks blurry,1
"Eyes, nose (3 nostrils?), and mouth are misaligned / malformed. Left foot does not appear to be touching the stair. The shirt / tie combination looks cloudy. The suit buttons are different color. The edges of the stairs are different. The banisters appear / disappear.","2,3,4,6"
name on runner doesn't match gender of runner,8
too many fingers on the woman.,3
man's head and leg are off,"2,9"
"Too smooth, too perfect. if real, it is photoshopped or heavy makeup.",5
sus,0
dog foot,"3,9"
Si,0
man face brown,0
default to fake,0
"The fork while eating pizza, the shading","1,4"
The hands. ,"3,9"
distorted nose,3
Si,0
"unnatural skin texture and lighting of the scene
deformed body parts and the whole looks wird, when you See the details","2,4"
extra arm showing on the player who's shooting,"3,9"
the woman with the black hat's face doesn't seem quite right,"2,6"
The child's eyes are unrealistic,"2,6"
the neckline of the black tshirt seems off,6
The pizza slices on the left.  the boys fingers on the middle,"3,6"
Weird looking top part of the tennis racket. Weird spot at the left part of the head where the hair looks weird.,"2,6"
The hands of the people look weird.,3
jaja k?,0
k XD?,0
The eyes look unnatural,"2,6"
Background and facial features,"4,7"
Image seems like it has a filter ,5
Lighting seems correct,0
"Photo seems ""soft""",1
texture,0
food seems out of place,8
the lighting doesnt look real ,4
"the position of the hands, the hair, the body posture of the old lady. the bags on the old lady's face. young lady has a deeper cheek","2,3"
The depth of field and the reflections in the table top,4
because of the face from the man in the middle,"2,6"
they have a printed background ,"4,8"
white people on the crowd,8
The background fabric looks oddly lit and seems to change patterns.,4
"The lighting looks wrong, her hand looks too small, and the foreground object is very blurry.  ","1,3,4"
Thé handball or the woman on the left is strange,"3,6"
weird thing next to pizza,0
Colores muy pasteles y poco variados y poco realistas. ,0
foot looks flat but is not touching ground?,"3,9"
The fingers and forehead look unnatural ,"2,6"
Because of the eyes.,2
The finger,"3,9"
"Background of guy look different , its like it modified of light and background","4,8"
generated by AI,5
BY AI,0
The uniform looks digitized,5
Mouth ,0
Very bad faces,"2,7"
"Not realistic size of heads, noses and eyes. Socks ","2,6"
Pizza looks like a dog shit. Little girl have no teeth 👍,"3,6"
Scary face wtf,7
"Eyes very scary.
He took piece of pizza BUT PIZZA IS STILL FULL","2,9"
Non realistic situation ,0
Faces bad,"2,6"
"Again too bad pizza look.
Scary eyes and faces",7
"Too smooth light, scary faces","4,7"
Dirty eyes,6
"The keyboard has an odd texture, her left hand looks strange, her eyebrow looks like it's splitting apart towards the edge of her face","2,6"
"Generally, the image's appearance reminds me of AI generated images that I've seen in the past. For specific details, the child's sweater looks like it begins with a zipper at the top before morphing into something with a large button in the middle. ","5,7"
Her hands aren’t quite textured right,"3,6"
"Her arm dimensions are weird, and “Bruce” is displayed as her name","3,8"
Her cheekbones. ‘Nuff said,"2,6"
The hand dimensions look a bit off,3
What happened to his ring finger?,3
It didn’t load for me,0
Look at their hands-,6
too much clarity,5
wooden door broken in arm gap on right,"3,9"
blurred person in background,"1,4"
writing too good to be fake,0
weird fingers on guy,"3,6"
background people look real,0
background makes me suspect it,"4,8"
form of fingers,6
"Shadow
",4
"C
",0
F,0
skin and lips; ,"6,0"
"Los ojos no tienen iris, el micrófono tiene mucha textura de enfoque y los dedos ya están desenfocados","2,1"
"Chin wrinkles, shoulder muscles","3,6"
Everyone's faces and hands are distorted,"2,6"
A finger looks weird and the teeth of the woman on the right look weird too.,"3,6"
"The faces, hands and arms of the people look weird.","2,6"
The hands of the boy and woman look weird ,3
The eyes. One is blurry,2
The name,0
The front of the truck is missing,9
"The eyes look unrealistically creepy, un-human","2,6"
"this is probably an old work, artifacts around the eyes are visible here","1,5"
This is the anti-racism fighter from America,8
"It looks strange, but it looks like a real one",7
"Their noses are broken, it's obvious",3
"although the guy has some problems with glasses, it looks like a real image",0
"Aiškiai matyti, kad vaizdas sukurtas: nenatūralus veidas, oda.","2,6"
Abnormal contrast. Hand in odd looking sandwich. Utensils are not complete,"1,3"
Grainy & pixelated,"1,5"
Flag on sleeve incorrect. Thermos on the right does not look right,8
Pizza slices out of place. Some faces are distorted and out of focus,"3,7"
chetko,0
His clothes doesn't look like the type one would wear on such a hike. Looks off. ,8
Hard to judge. But could be real.,0
Filtered through an app.,5
I'm not sure. But will say it feels fake. ,0
Kids faces are photo shopped,5
Look at the hands,6
there is white dots in nose,1
the background is blurred,4
There are problems with fingers and background,"3,4"
Fingers and skin,"3,9"
Hands are not the same..,6
"The eyes are weird
",2
shadows dont look real and the faces are off,"4,7"
faces look the same,2
"the man's shirt pattern is wrong, his thumb is kinda creepy, and the dog's collar is wierd","2,3"
her thumb!,6
it is just a really random photo,0
There is a yellow glow on her wrist,4
the wrinkles are too random,"1,5"
his arms are awkward,3
wut are they looking at? also the womans arms are different from eachother,"2,6"
his hands are ierd and I fell like his hair is too vibrant,"2,6"
it just feels fake,0
her hands and the bag,"3,9"
"the door in the bg is not symetrical at all, his eyes!","4,7"
why would somebody do this anyway,0
what is HOAI?,0
his skin it too smooth and perfect,"5,6"
The eyes look pretty good,0
Faces are off,"2,6"
Looks familiar,0
Looks pretty real,0
Faces are off,2
"Hand picking up cheese on pizza, weird right hand of middle man. No one is looking directly any another. Weird looking hand of left man. Shadow of pizza not quite right.","3,6,4"
HIs hair looks like it's in the wind. Otherwise looks very real.,4
Tie looks fake.,0
light on her nose and change of color of her hand.,"4,5"
Her left eye is off,2
Faces  and light ,"2,4"
"Shadows, skin, reflections",4
"Shadows, skin, reflections",4
they squeeze his brain and did something weird to his chin. also one of his fingers is right pointer finger is pointing in the wrong direction,"3,6"
the guy's right eye is a weird shape,2
left leg,"3,9"
tae,0
the light is weird,4
strange clothing folds,"1,5"
El brillo del reloj,0
La mano de la mujer,0
weird shadows,4
"
remove image editing",5
image de gema,0
arisbel nudes,0
"jawline and chin of person on right looks airbrushed. face looks too smooth, almost like a mannequin. The eyes are looking at a weird angle. ","2,5"
"images in the windows don't make sense. They look like graffiti, not like stock reports ",8
mouth is weird,"2,6"
Face dimensions are weird and squashed up,"2,6"
"teeth/mouth on man and hands on both are weird, mis shapen","2,6"
overall airbrushed look,5
man's face looks out of proportion,"2,6"
"la imagen se ve que es creada
",5
imagen editada,5
Shadows look odd.,"4,9"
Looks like a painting in the background.,"1,5"
Text looks good.,0
Letters on the bib looks odd,1
Didn't see anything unusual about it.,0
Nothing stood out as odd.,0
Looked well composed.,0
Hand on woman with glassed,0
Some body proportions seem off,"3,6"
If it is AI it is very good. The name Bruce on the runner is the only off thing,8
Too many fingers,3
Face and fingers are off,"2,6"
Can't find anything wrong,0
Toes and fingers are weird,"3,6"
Seemed real,0
Faces and fingers seem normal,0
Fingers way off,"3,9"
Seemed like an edited normal photo,5
Left arm bicep seems weird,3
' R,0
Bruh do I even have to say anything,0
"it is so obvious
",0
water mark ,0
caca,0
cac²,0
Ai clearly,0
Idk ,0
The eye,6
Grandma face,"2,6"
The boy,0
I think the fingers are strange,3
Man is too sharp,"2,6"
.eq280q9waioesdkthigf3wn89eiuoghnbiupw3kqjahfnvuiekjfndcewiujkrgnfn,0
It gives the fake vibe ,0
Their skin lacks deails and is too smooth,"1,5"
wierd face,"2,6"
la textura,0
because fake,0
Right hand of the model is quite blurry ,1
thumb is diff color and button on pants is distorted and shows cloth coming out of shoe,"1,9"
They aren't looking at the pizza,8
Not looking in the right area,0
Light on him is brighter than on rest of photo,4
Center person too small,"3,9"
Too much bright light from both sides but background is day time so should only be from one side,4
Image of person looks like something from a photo studio that was framed with something with less quality.,"1,4"
Looks very staged.,0
Arms don't look natural,3
head doesn't look right for body.,"2,6"
no footprints,9
heads don't seem to match the bodies.,"2,6"
"It could be a real photo, with some blurry effect, but the fact that they have their hand on their faces and the marks are not very realistic makes me wonder. ","2,6"
Horrible faces. ,"2,7"
Face on body of woman?,"2,6"
no wrinkles on faces,6
skin smooth and no wrinkles,5
Cartoon hands,6
reflection not right and the face is weird,"2,4"
smooth faces and lighting weird,"1,4"
texture on skin,"1,5"
"Odd hand on man's neck
","3,6"
jjj,0
Skin on hands look unreal.,"3,5"
looks edited,5
The hand looks awkward,"3,9"
Man's mystery hand,"6,9"
as,0
It looks cartoonish either ai or photoshopped,5
he looked retarted,7
Nobody would ever look like this,7
Too shiny and 0 sweat,"1,9"
bus shooting,0
goofy ahh,0
Hand face proportions,"2,6"
They wouldn't have a watch,8
If not fake then staged,8
WAY too bright,4
reflection in glasses,0
Face proportions wrong,"2,6"
da bois,0
album cover,0
Shadowing looks right. Alignment of buildings look good.,0
get a better camera,1
shiny forehead,1
Created to evoke a reaction but fake,0
Women in window reflection,0
Weird fuzziness around male chin,1
too dramatic,0
bro is not mario and he has 3 fingers,"3,6"
Shadow wrong and no other footprints,"4,9"
3 nostrils,3
She would not be stopping to photoshoot bro,8
hump head,"3,6"
Basic couples image. Pizza isn't that small ,9
The woman’s eye has a wonky texture,"2,6"
The license plate lit up there’s consistency ,"4,8"
The fingers aren’t messed up and there’s tape on the microphone ,0
They can’t eat pizza in space and the fingers are jacked up,"3,9"
fingers and hands ,"3,6"
nail color on hands ,0
i have no idea i am guessing ,0
guessing ,0
guessing ,0
fingernails ,6
artistic ,0
not sure ,0
"clarity
",1
Text on shirts looks to be formed properly - not seeing any weird anatomical mistakes in the image. Wrinkles in red shirt look realistic.,0
"Background perspective seems off. Has that ""airbrush"" quality a lot of AI images have","1,5"
Somewhat unflattering image caught in the moment of a race. ,0
Seems uncanny,7
the lead on the LH dog doesn't look right,"6,9"
stylised grass,"1,5"
The reflection in the mirror is wrong.,"4,8"
The shadows on the floor from the table and on the wall from the man at the table behind this one are out of sync.,4
"the man has an odd thumb, the fingers on the woman are a little weird as well. I’m going to feel really bad about saying that if this picture is real.","3,6"
those hands,"6,9"
Kid's face,"2,6"
reflection of his ear in the window,"6,9"
stethoscope and pen in pocket are wonky,"3,8"
the words are real words,0
"hands are a little off, the older woman’s jacket has odd buttons off to one side, but only at the top","3,8"
hand only has 4 fingers and his tattoo is a real word,"3,6"
smoothe faces,"2,5"
"hands are accurate, writing is real",0
"the length of those thumbs. Again, if this is real, I apologize, I’m not really a bad person.","3,6"
the motion blur seems to good for AI,0
To smooth of pixelation for a real photo.,5
The faces aren’t quite right.,"2,6"
No text so hard to gauge. Eyes look normal.,"2,6"
Text is good.,0
Shoe laces look off,0
Faces are off.,2
"Lots of blended people in the background, image quality ","1,"
Text is too high of quality ,5
Screen imagery is not real,0
Hands are normal,0
Image didn’t fully load.,0
Background has no sights or notable movement,0
It is too perfect. The colors are very vibrant. It has that generative ai painterly look. I can tell there is not enough refining in the girl's red hat- it is still very noisy.,5
Left phone camera is blurred and inaccurate ,"1,4"
Skin quality too smooth,"1,5"
Door opens to no stairs,"8,9"
Hand quality looks good,0
Text on name tag is illegible,0
Food looks normal,0
"Again, too perfect with the lighting/coloring. Painterly look- like these gen-ai's have.",5
Fingernails aren’t real,"3,6"
I thought usually racer wear numbers not names - this is a male name on a female racer - but could be her last name,8
"Painterly AI look, too perfect. This model has a good GAN though! (hands and faces are represented accurately)","5,10"
eyes seem weird,"2,6"
Painterly,"1,5"
These generative AIs are currently really bad at trying to represent complex ideas. This prompt was a fail if it tried to seem real,7
Poor GAN model. ,5
Faces are slightly off,"2,6"
weird eyebrows/hair on child - also what do their clothes say?  clothes (suspenders) look strange,"2,8"
Painterly,"1,5"
Morphing of items made it obvious,5
Poor GAN model for the faces,5
Tongue sticking out at odd angle. High heals while pregnant is possible but probable. ,"3,8"
Nose is fuzzy on the right side of the image. Check and lips on the left side are more in focus. ,"1,6"
"No reason, perhaps too perfect...",0
The woman's hand looks wonky.,3
Something about his face looks like it is from a video game.,7
This looks staged,8
too symmetrical,7
Couldn't tell - ,0
One of the hands is either disfigured or this is AI,"3,6"
the shadows and lighting seem off,4
"The lighting is wrong.  His face would be in shadow of her head.  The side of the box and the girls hand don't cast shadows 
 shadows on the pizza,.  Girl in the middle looks like a zombie ","4,7"
looks too perfect/staged,5
idk the arm is gone and his leg is to straight,"3,9"
something about the ketchup...,0
you can see the wrinkles on her face,6
the hands look off to me,"6,9"
It looks like there is a portion of a person on the left side.,"3,9"
Dem gyat dam eyebrows bruh. Fatahhhh eyebrows. Uglahh kid fakahhh freckles dirty ahh shirt,"2,6"
The stubble/whiskers look a bit weird.,6
The nose,"2,6"
bad thumb,1
those hands,"6,9"
the handbag strap comes out of his hand and doesn’t actually attach to the handbag on the right side,"3,9"
"the hands, it’s always the hands",6
the image is too clear for the era (no grain) and the lighting is just a bit too  uncanny valley,"1,7"
"lack of grain that is present in photography from that era, the lighting is unrealistic for an event like this (MLK wouldn’t use artistic lighting for a photo op while feeding people)","4,8"
"her hand is straight wonky. also, it’s a painterly effect, which can easily be done with photos in various editors, but since we’re judging photos, I’m going to disqualify the effect based on that.","1,5"
"discontinuity in wrist of waving hand, melted look of left hand of left woman, right eye weirdness on right woman, wonky digits on hands of right woman","3,6"
this is terrifying,7
"the face of the girl on the left, the hands, the girl on the right’s eyeline doesn’t match up to her mom, shadows are super wonky","2,6"
"pixelization in background behind tennis racquet, imprecise rendering of hair and hand","1,5"
imprecise details,0
"the middle girl’s arm disappears into her stomach. Excellent if she gets appendicitis for easy removal, not so excellent for a compelling photograph.","3,9"
how is that plate even supposed to held in her right hand?,"3,9"
"the hands, the faces of everyone are also super funky","2,6"
"weird pupils, weird hands, inconsistency in resolution","2,6"
Tooth,3
thumb on right hand does not look human and teeth do not have clear separation. eyes/eyebrows also do not have symmetry,"3,6"
blurry but does not look generated,1
T-shirt,0
pocket on arm and gun look generated,"5,10"
does not look ai generated,0
it is the eyes and eyebrows that look generated in this image,"2,5"
fingers look good,0
"The guitar is missing details, and the hand looks weird.","3,6"
the pizza box looks slightly generated but nothing else looks super artificial,5
texture of the shirt,0
Weird shading on the face,"1,4"
did not show me the image,0
does not look generataed ,0
Proportions of chile on the rigth. Placement of hands of child on the left.,"2,6"
the fingers give it away,6
teeth and symmetry give it away,"2,6"
"Weird shadows, and the finger placement is odd","4,9"
Placement of arm of human. Charts and graphs on window.,"3,8"
all fingers and toes look good,0
only had one nostril/nose blends with rest of face,"3,6"
Head looks like an animation. Shadows of objects are off.,"2,4"
the one guy has a talon for a finger and it looks more like a drawing than realistic,"3,5"
I think it's real.,0
"The reflection in his glases seems not to show the train, but people in a sports-stadium.","4,8"
Shadow are off.,4
The eyes look unnatual,"2,6"
shadows don't exist for all elements.,"4,9"
There are mistakes in fingers and arms,"3,6"
"Weird nose, and weird wrinkles","2,6"
"Two subjects, each looking in different directions.",7
fingers are messed up,"3,6"
Eyes and fingers have mistakes,"2,6"
"i copuldnt look properly, so i rather dint belive what i saw",0
"the time was too short for me, so i rather dont belive",0
again too short,0
time was too short,0
i could see mistakes at nose and hand,"2,3"
"i think the hand lookes unnatural, but im unsure",3
time was too short,0
fingers lookes unnatural,"3,6"
"i think the light looked unnatural, but im unsure",4
time was too short,0
the faces and light looked unnatural,"2,4"
time was too short,0
"Hair, faces, light and hands looked unnatural","1,2,4"
that is not his real face,"2,6"
"the background was not a photo, but painted","4,8"
there was something in his mouth,3
fingers and hands are unnatural,"3,6"
i think the faces look unnatural,"2,6"
"hands, foot and eyes look unnatural","3,6"
The toes,"3,9"
"lack of shadow. difference in detail of figure vs the house, like superimposed.","4,10"
Faces arent realistic,"2,6"
The mustache seems fake to me and I’m confused by the appearance of the white shirt reflection under the chin.,"5,4"
face features are off.,"2,6"
airbrushed too smooth colors,5
"too perfect, skin, composure for athletic shot","5,10"
background unrealistic,"4,8"
Contrast overexagerated... ,5
Weird lines on face,"1,5"
Signs behind branches don't look like real letters.  The crutch is located next to a person that doesn't seem to require walking assistance.,"8,9"
Food doesn't seem like something astronauts would eat.,8
Hands are weird and the dart game has weird numbers,"3,9"
Shadows by feet look a little wonky.,"4,9"
Super weird eyes and ears,"2,6"
Necklace was broken in image?,0
"Those eyes are so unrealistic, it’s terrifying ","2,7"
Weird inconsistencies in the material for the door and countertop,8
He looks like a cartoon,7
"Weird hands, girls’ faces look airbrushed ","2,5"
Mother is standing,0
매우 자연스러움,0
아이가 부자연스러움,7
The figures seem to be looking two slightly different directions,"2,6"
The details are blurry,1
The details are lacking and there is a slight blurriness to the image,1
The mans shoes don't match. Some of the hands don't look right. ,"6,9"
Face is too smooth,6
Baby face is too smooth.,6
"Text on clothes, background looks digital","5,4"
Women's fingers aren't right. Children's faces are too smooth. Eyes are face too. ,"2,6"
Mouths,"2,6"
This is a hard one. I can't see the girls left are. The fingers and toes look okay but her skin is a bit too perfect. ,"2,6"
"Eyes, patches of color on uniform",0
